sheet_title,sheet_key,updated,downloaded
SERF_IA Water Table Depth,1pG264E_2Vpq3uzkCYlYQNYdO44fyzUQMBjNgb5Kc_qQ,2018-01-22T20:00:01Z,2019-08-29T19:17:10Z
SERF_SD Water Table Depth,1AszVdlvHQXRcYIg2cy2PUOnxZEXK5EXMcEFx4oZFCJ0,2019-08-29T20:57:48Z,2019-08-29T20:59:01Z
STJOHNS Water Table Depth,1bxyvvA0DCWeZC_OIAdX7oJLp5g2sqUcb6fs6HkSe75A,2019-08-29T21:59:20Z,2019-08-29T22:00:24Z
STJOHNS Water Table Depth,1bxyvvA0DCWeZC_OIAdX7oJLp5g2sqUcb6fs6HkSe75A,2019-08-29T22:04:33Z,2019-08-29T22:05:05Z
STJOHNS Water Table Depth,1bxyvvA0DCWeZC_OIAdX7oJLp5g2sqUcb6fs6HkSe75A,2019-08-29T22:05:42Z,2019-08-29T22:07:04Z
HENRY WQ,1WBUxqTDX7i3DeiaU9SG6VbgpIs9G300nYI1USvymdes,2019-08-30T16:02:59Z,2019-08-30T16:14:39Z
HARDIN_NW WQ,18B4C0NU1LYjjGmN2Eeejyg4c5C9XIn6NdJscWQkKbu8,2019-08-30T16:01:27Z,2019-08-30T16:14:49Z
DEFI_R WQ 2000-2007 Lysimeter,1qAYftykDBZ3Am5wSYVDw9aGSesbwQXW4SvUg0YcFxlY,2019-08-29T19:13:34Z,2019-08-30T16:15:05Z
SERF_IA WQ,1wn0wtiszIYiw8nkJ5nS71BgBXkNZvXndjzv877-OGaA,2019-06-27T05:06:07Z,2019-08-30T16:15:17Z
ACRE WQ,1jcHZ3QhTdWnHsciFeFASUJ4_xq1XIJuJLCNY6aTWffM,2019-06-26T13:27:29Z,2019-08-30T16:15:26Z
STORY WQ,1NuIFzkdC9CNaYJGaAWy79Cjd56Cs6OSne06tPPiveNw,2019-05-23T18:55:39Z,2019-08-30T16:15:36Z
UBWC WQ,1t0fn7WPHQT2GePdP8DA0-xxpTHGWt0_0ieoe28neHZA,2019-05-23T18:03:32Z,2019-08-30T16:15:47Z
SWROC WQ,1W-1dcAa1_q-qxZ49DdPLh9Kl5MKvKRyqTfnRbOsulbQ,2019-05-23T18:01:01Z,2019-08-30T16:15:57Z
HICKS_B WQ,1Oaj6PhIMfSp5z7TMTTwXrmaQFN_YOGJlpZ7yD2gQ7wo,2019-05-23T17:48:28Z,2019-08-30T16:16:08Z
BATH_A WQ,1BzG9P1d-mRDuTGsV2Yac4qNt0uuaFG9u7zmUIdn8Ubc,2019-05-23T15:48:38Z,2019-08-30T16:16:19Z
MUDS4 WQ,1GlpbNPpo8F-Mv3VxLSvCiKj4pnMCg8iznCxNZ5QDK5s,2019-05-23T15:28:48Z,2019-08-30T16:16:29Z
SERF_SD WQ,1HogzMxru0zPjeqyHxleEhQlqxF7lhOxNzqT696l-SIc,2019-05-20T19:03:24Z,2019-08-30T16:16:40Z
